first_name,last_name,email,pronouns,year
Julia,Blake,julia.blake@fakeschool.org,she/her,1
Wendy,Arnold,wendy.arnold@fakeschool.org,he/him,1
Oliver,Morgan,oliver.morgan@fakeschool.org,he/him,1
Andrea,James,andrea.james@fakeschool.org,she/her,1
Kylie,Mackay,kylie.mackay@fakeschool.org,they/them,1
Peter,Hemmings,peter.hemmings@fakeschool.org,she/her,1
Adam,Gibson,adam.gibson@fakeschool.org,she/her,1
Amelia,Berry,amelia.berry@fakeschool.org,she/her,1
Ella,Rees,ella.rees@fakeschool.org,he/him,1
Luke,Roberts,luke.roberts@fakeschool.org,he/him,1
Owen,Bond,owen.bond@fakeschool.org,she/her,1
Stephanie,Knox,stephanie.knox@fakeschool.org,he/him,1
Madeleine,Langdon,madeleine.langdon@fakeschool.org,she/her,1
Sonia,Howard,sonia.howard@fakeschool.org,he/him,1
Thomas,Cameron,thomas.cameron@fakeschool.org,he/him,1
Bernadette,Wright,bernadette.wright@fakeschool.org,she/her,1
John,Mackay,john.mackay@fakeschool.org,he/him,1
Piers,Lee,piers.lee@fakeschool.org,he/him,1
Robert,Avery,robert.avery@fakeschool.org,he/him,1
James,Chapman,james.chapman@fakeschool.org,they/them,1
Ruth,Lyman,ruth.lyman@fakeschool.org,she/her,1
David,Hardacre,david.hardacre@fakeschool.org,he/him,1
Chloe,Morgan,chloe.morgan@fakeschool.org,he/him,1
James,Parsons,james.parsons@fakeschool.org,she/her,1
Dorothy,James,dorothy.james@fakeschool.org,they/them,1
Rose,Sutherland,rose.sutherland@fakeschool.org,she/her,1
Boris,McDonald,boris.mcdonald@fakeschool.org,she/her,1
Joshua,Brown,joshua.brown@fakeschool.org,she/her,1
Owen,Mathis,owen.mathis@fakeschool.org,he/him,1
Gavin,Wallace,gavin.wallace@fakeschool.org,he/him,1
Luke,Morgan,luke.morgan@fakeschool.org,she/her,1
Julian,King,julian.king@fakeschool.org,he/him,1
Lily,Oliver,lily.oliver@fakeschool.org,she/her,1
Dylan,McDonald,dylan.mcdonald@fakeschool.org,he/him,1
Yvonne,Piper,yvonne.piper@fakeschool.org,he/him,1
Thomas,Dickens,thomas.dickens@fakeschool.org,she/her,1
Keith,James,keith.james@fakeschool.org,he/him,1
John,Metcalfe,john.metcalfe@fakeschool.org,he/him,1
Vanessa,Piper,vanessa.piper@fakeschool.org,he/him,1
Tim,Morrison,tim.morrison@fakeschool.org,they/them,1
Nathan,Alsop,nathan.alsop@fakeschool.org,she/her,1
