Grace,Henderson,grace.henderson@fakeschool.org,she/her
Austin,Walsh,austin.walsh@fakeschool.org,he/him
Dominic,Anderson,dominic.anderson@fakeschool.org,he/him
Maria,Poole,maria.poole@fakeschool.org,she/her
Christopher,Forsyth,christopher.forsyth@fakeschool.org,they/them
Chloe,Tucker,chloe.tucker@fakeschool.org,she/her
Emily,Cornish,emily.cornish@fakeschool.org,she/her
Amelia,North,amelia.north@fakeschool.org,she/her
Robert,Wilson,robert.wilson@fakeschool.org,he/him
Ryan,MacDonald,ryan.macdonald@fakeschool.org,he/him
Joseph,Fraser,joseph.fraser@fakeschool.org,she/her
Adam,Pullman,adam.pullman@fakeschool.org,he/him
Anna,King,anna.king@fakeschool.org,she/her
Joseph,Henderson,joseph.henderson@fakeschool.org,he/him
James,Carr,james.carr@fakeschool.org,he/him
Virginia,Lawrence,virginia.lawrence@fakeschool.org,she/her
Brandon,Slater,brandon.slater@fakeschool.org,he/him
William,Howard,william.howard@fakeschool.org,he/him
Stewart,Gibson,stewart.gibson@fakeschool.org,he/him
Deirdre,Hughes,deirdre.hughes@fakeschool.org,they/them
